round_epochs,val_loss,val_mae,val_f1score,loss,mae,f1score,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,learning_rate,losses,lr_reduce_rate
200,0.002699851058423519,0.03846091777086258,0.47359997034072876,0.0024921446281562006,0.03850756,0.42780206,6.25e-05,relu,64,0.1,100,200,100,0.1,mean_squared_error,0.5
131,0.0020137906167656183,0.03452400118112564,0.47677332162857056,0.0012607155471442803,0.027195785,0.44596142,1e-12,elu,16,0.0,200,200,400,0.1,mean_squared_error,0.001
158,0.0017546318471431733,0.030754728242754936,0.4718201458454132,0.000596646523364469,0.018310776,0.45469102,1.0000001e-11,relu,16,0.0,200,200,300,0.01,mean_squared_error,0.01
164,0.0016687003895640372,0.030711743980646133,0.48057594895362854,0.0014101948647034916,0.029022243,0.47293252,1.0000001e-08,relu,16,0.1,200,400,100,0.001,mean_squared_error,0.1
275,0.001923477752134204,0.03285795822739601,0.4693106412887573,0.0009314775926357587,0.022991959,0.47040427,3.90625e-06,elu,16,0.0,100,400,50,0.001,mean_squared_error,0.5
268,0.002481999807059765,0.03692816570401192,0.48796144127845764,0.0012708661231504781,0.026328098,0.47552824,1.953125e-06,relu,128,0.0,300,100,400,0.001,mean_squared_error,0.5
181,0.0018613980151712894,0.032668519765138626,0.4718478322029114,0.00119972371236724,0.027098622,0.4779218,8.1e-06,relu,16,0.3,400,50,200,0.1,mean_squared_error,0.3
110,0.002174521330744028,0.035893287509679794,0.4624219536781311,0.00193784790235947,0.03466316,0.47078764,1e-09,relu,16,0.1,300,100,50,0.1,mean_squared_error,0.001
138,0.0033557945862412453,0.04504075646400452,0.5335413217544556,0.0034521683295545705,0.044407304,0.50914633,1e-12,relu,64,0.0,400,200,50,0.01,mean_squared_error,0.001
174,0.0019668842386454345,0.03423759713768959,0.46286097168922424,0.0017995543250054918,0.032915894,0.48115852,1.0000001e-11,relu,32,0.3,400,400,400,0.001,mean_squared_error,0.01
169,0.0022844932321459057,0.03600781038403511,0.4692874252796173,0.001410648831825409,0.028720183,0.4437996,1.0000001e-09,relu,32,0.1,200,400,300,0.01,mean_squared_error,0.01
165,0.002938362769782543,0.04066329076886177,0.47860532999038696,0.0023247427520000446,0.036532357,0.4071071,1.0000001e-07,relu,64,0.0,50,200,400,0.001,mean_squared_error,0.1
131,0.002654110062867403,0.041166361421346664,0.4705522656440735,0.0025924477463832875,0.0402602,0.45502627,1e-09,relu,16,0.3,300,50,100,0.01,mean_squared_error,0.001
114,0.004189138766378164,0.04904286563396454,0.44794946908950806,0.00496870996264579,0.054510146,0.43895346,1e-09,relu,64,0.3,50,300,300,0.01,mean_squared_error,0.001
231,0.0020603507291525602,0.03392431139945984,0.46849754452705383,0.0017971489990735738,0.0327844,0.47186807,1.0000001e-11,relu,128,0.2,300,100,200,0.001,mean_squared_error,0.01
172,0.001715602297335863,0.03071645088493824,0.4739675521850586,0.0010605676966679918,0.02538334,0.47382382,1.0000001e-08,relu,16,0.2,200,400,400,0.1,mean_squared_error,0.1
285,0.0024338962975889444,0.03830452263355255,0.47039994597435,0.004110690334372073,0.050493363,0.48666427,7.29e-07,elu,64,0.3,200,200,50,0.001,mean_squared_error,0.3
172,0.002762124640867114,0.038923561573028564,0.48101261258125305,0.002445834632838489,0.03799223,0.47072,1.0000001e-06,relu,128,0.1,50,400,300,0.001,mean_squared_error,0.1
111,0.0034142753574997187,0.04609210789203644,0.46129027009010315,0.004058362213212308,0.049734943,0.40326905,1e-09,elu,64,0.3,200,400,400,0.01,mean_squared_error,0.001
242,0.001898572649806738,0.032547637820243835,0.4722963273525238,0.0016132201832840488,0.030713625,0.46958894,6.561e-08,elu,16,0.3,100,400,400,0.1,mean_squared_error,0.3
185,0.0028443343471735716,0.041005317121744156,0.4620252847671509,0.003617310821325549,0.046930227,0.45522103,1e-09,elu,128,0.2,50,200,100,0.001,mean_squared_error,0.001
