round_epochs,val_loss,loss,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
326,0.0014342304008702438,5.217005515797862e-05,6.103516e-08,relu,16,0.0,400,400,200,mean_squared_error,0.5
286,0.0020340759721067217,0.0007921910240544105,1e-39,relu,16,0.0,200,100,400,mean_squared_error,0.001
291,0.0020265683609371385,0.0012482262689422967,1e-39,relu,16,0.1,200,400,200,mean_squared_error,0.001
321,0.002063203822924859,0.0008858815749463077,5.31441e-10,relu,16,0.1,300,50,100,mean_squared_error,0.3
262,0.0022789717056891983,0.0018682805429621834,1e-39,relu,16,0.1,200,200,50,mean_squared_error,0.0001
364,0.0018854703650706345,0.00031737621196885113,1.525879e-08,relu,16,0.1,300,300,400,mean_squared_error,0.5
233,0.0028182691377070215,0.0026387919663129564,1.0000001e-33,relu,16,0.1,400,300,100,mean_squared_error,0.001
280,0.003375548921111557,0.0014874984418126141,1e-43,relu,16,0.1,50,50,200,mean_squared_error,0.0001
246,0.002472515787101454,0.0009931468844016278,1.0000001e-30,relu,16,0.1,100,200,300,mean_squared_error,0.001
240,0.004316847460965316,0.0012308221785105023,1e-21,relu,16,0.1,300,50,300,mean_squared_error,0.01
293,0.002391965826973319,0.0005634039538155232,1.594323e-10,relu,16,0.0,50,100,100,mean_squared_error,0.3
274,0.0025690969907575184,0.0012629084938968825,1.0000001e-33,relu,16,0.1,200,100,200,mean_squared_error,0.001
265,0.0021906676960902084,0.0015668064255029473,1e-23,relu,16,0.1,100,100,50,mean_squared_error,0.01
241,0.005274761105991072,0.0020493366222428247,1e-39,relu,16,0.1,200,50,200,mean_squared_error,0.0001
275,0.002476759513633119,0.0021690330511637936,0.0,relu,16,0.1,50,300,400,mean_squared_error,0.0001
310,0.0019990538583240574,0.0010043263306255188,1e-42,relu,16,0.0,400,200,100,mean_squared_error,0.001
275,0.0019736792374816206,0.0005236971826724871,5.9049e-09,relu,16,0.1,200,100,300,mean_squared_error,0.3
354,0.0016024938991500272,0.0001093074776387463,3.051758e-08,relu,16,0.0,100,400,50,mean_squared_error,0.5
327,0.001720200784297453,0.000783773889834775,1.594323e-10,relu,16,0.1,400,400,200,mean_squared_error,0.3
262,0.0033940841676667333,0.0023542726241963163,1e-43,relu,16,0.1,300,200,50,mean_squared_error,0.0001
334,0.001524326339777973,2.582367254650319e-05,6.103516e-08,relu,16,0.0,200,400,400,mean_squared_error,0.5
298,0.0022273327534397445,0.0007171847531499451,1.00000015e-14,relu,16,0.1,50,300,300,mean_squared_error,0.1
277,0.0032747007337295348,0.0011505364883557612,1e-23,relu,16,0.1,300,100,300,mean_squared_error,0.01
298,0.002249050199882024,0.0020670614733340397,1e-39,relu,16,0.1,300,400,50,mean_squared_error,0.001
320,0.0016847531854485471,0.0003268197565985049,1.7714701e-09,relu,16,0.1,200,400,300,mean_squared_error,0.3
303,0.001988482480454776,0.0005642236097979815,5.31441e-10,relu,16,0.1,100,200,200,mean_squared_error,0.3
